model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
Decision Tree,entropy,1,4,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.757,0.723,0.721,0.00398
Decision Tree,entropy,1,4,log2,0,0,0,0,0,0,0,0,0,0.637,0.639,0.59,0.587,0.002
Decision Tree,entropy,1,5,nan,0,0,0,0,0,0,0,0,0,0.746,0.745,0.771,0.768,0.002
Decision Tree,entropy,1,5,sqrt,0,0,0,0,0,0,0,0,0,0.644,0.645,0.566,0.566,0.00113
Decision Tree,entropy,1,5,log2,0,0,0,0,0,0,0,0,0,0.637,0.639,0.687,0.685,0.00201
Decision Tree,entropy,1,6,nan,0,0,0,0,0,0,0,0,0,0.722,0.723,0.819,0.82,0.00255
Decision Tree,entropy,1,6,sqrt,0,0,0,0,0,0,0,0,0,0.659,0.653,0.639,0.646,0.001
Decision Tree,entropy,1,6,log2,0,0,0,0,0,0,0,0,0,0.574,0.528,0.542,0.483,0.001
Decision Tree,entropy,1,7,nan,0,0,0,0,0,0,0,0,0,0.752,0.753,0.699,0.699,0.003
Decision Tree,entropy,1,7,sqrt,0,0,0,0,0,0,0,0,0,0.619,0.621,0.663,0.66,0.00151
Decision Tree,entropy,1,7,log2,0,0,0,0,0,0,0,0,0,0.604,0.581,0.578,0.558,0.002
Decision Tree,entropy,1,8,nan,0,0,0,0,0,0,0,0,0,0.743,0.744,0.735,0.734,0.002
Decision Tree,entropy,1,8,sqrt,0,0,0,0,0,0,0,0,0,0.758,0.757,0.723,0.718,0.002
Decision Tree,entropy,1,8,log2,0,0,0,0,0,0,0,0,0,0.58,0.426,0.458,0.288,0.00154
Decision Tree,entropy,1,9,nan,0,0,0,0,0,0,0,0,0,0.746,0.746,0.723,0.728,0.003
Decision Tree,entropy,1,9,sqrt,0,0,0,0,0,0,0,0,0,0.662,0.663,0.494,0.49,0.00354
Decision Tree,entropy,1,9,log2,0,0,0,0,0,0,0,0,0,0.571,0.529,0.614,0.6,0.002
Decision Tree,entropy,1,10,nan,0,0,0,0,0,0,0,0,0,0.749,0.749,0.723,0.725,0.00345
Decision Tree,entropy,1,10,sqrt,0,0,0,0,0,0,0,0,0,0.731,0.732,0.771,0.772,0.00364
Decision Tree,entropy,1,10,log2,0,0,0,0,0,0,0,0,0,0.583,0.552,0.566,0.511,0.00198
Decision Tree,entropy,1,11,nan,0,0,0,0,0,0,0,0,0,0.716,0.716,0.747,0.746,0.00402
Decision Tree,entropy,1,11,sqrt,0,0,0,0,0,0,0,0,0,0.749,0.747,0.759,0.757,0.00353
Decision Tree,entropy,1,11,log2,0,0,0,0,0,0,0,0,0,0.662,0.66,0.627,0.613,0.00352
Decision Tree,entropy,1,12,nan,0,0,0,0,0,0,0,0,0,0.764,0.762,0.699,0.698,0.00452
Decision Tree,entropy,1,12,sqrt,0,0,0,0,0,0,0,0,0,0.628,0.626,0.566,0.538,0.00399
Decision Tree,entropy,1,12,log2,0,0,0,0,0,0,0,0,0,0.61,0.59,0.554,0.519,0.00757
Decision Tree,entropy,1,13,nan,0,0,0,0,0,0,0,0,0,0.737,0.736,0.807,0.801,0.00301
Decision Tree,entropy,1,13,sqrt,0,0,0,0,0,0,0,0,0,0.613,0.59,0.542,0.523,0.00352
Decision Tree,entropy,1,13,log2,0,0,0,0,0,0,0,0,0,0.647,0.648,0.651,0.651,0.00151
Decision Tree,entropy,1,14,nan,0,0,0,0,0,0,0,0,0,0.767,0.766,0.687,0.684,0.00251
Decision Tree,entropy,1,14,sqrt,0,0,0,0,0,0,0,0,0,0.746,0.746,0.723,0.73,0.002
Decision Tree,entropy,1,14,log2,0,0,0,0,0,0,0,0,0,0.647,0.647,0.554,0.555,0.002
Decision Tree,entropy,1,15,nan,0,0,0,0,0,0,0,0,0,0.746,0.747,0.711,0.713,0.00199
